Author	Treatment	Cause	PMID Count	PMIDs
Demiana S Mikhail	COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	36074734
Samar H Fahim	COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	36074734
Abdulrahman A Almehizia	COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	37126195
Mashooq A Bhat	COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	37126195
Atef Kalmouch	COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	37126195
Stephan Schmidt	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	38742423
Martin Himly	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	38742423
Rudolf J Schneider	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	38742423
Michael Krmic	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	37939382
Riley Porteus	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	37939382
Sunghee Lee	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	37939382
Piotr Ścigalski	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	38257293
Przemysław Kosobucki	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	38257293
Ayesha Razzaq	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	35952772
Irfan Zia Qureshi	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	35952772
Laxit K Bhatt	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	38901831
Rajesh Sundar	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	38901831
Mukul R Jain	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	38901831
Hamdy Abdelkader	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	39422559
Heba A Abou-Taleb	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	39422559
Gustavo Marinho Miranda	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	33673414
Marilda Souza Goncalves	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	33673414
Jaime Ribeiro-Filho	COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	33673414
Yan Ye	COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	38238760
Fei Gao	COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	38238760
Peihai Zhang	COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	38238760
Anup Jyoti Roy	COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	36515023
Ankita Kashyap	COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	36515023
Narmeen Mallah	COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	39312097
Angel Salgado-Barreira	COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	39312097
Adolfo Figueiras	COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	1	39312097
Asmaa E Kassab	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	38584541
Ehab M Gedawy	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	38584541
Yifei Xie	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	39994787
Zigang Dong	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	39994787
Kangdong Liu	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	39994787
Yang Liu	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	39474123
Jinming Wang	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	39474123
Zhong Cao	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	39474123
Oluwafunke R Kolawole	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	35163356
Khosrow Kashfi	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	35163356
Sandra Ramos-Inza	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34784195
Daniel Plano	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34784195
Kathleen P Wilkie	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32430508
Farjana Aktar	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32430508
Sofia Martins Sousa	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	36717997
Andreia Palmeira	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	36717997
Silvia Zappavigna	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32283655
Rosanna Filosa	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32283655
Michele Caraglia	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32283655
Rekha Khandia	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	31997769
Ashok Munjal	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	31997769
Cristina Florean	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32070764
Mario Dicato	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32070764
Marc Diederich	COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32070764
Vanessa C O Lima	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34256373
Adriana F Uchôa	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34256373
Ana H A Morais	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34256373
Aleksandra Kozłowska	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34299655
Tomasz Dzierżanowski	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34299655
Na Zhou	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34962122
Jianping Wu	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34962122
Yonggang Tu	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34962122
Xiaoping Yu	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	39411832
Haomou Pu	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	39411832
Margaret Voss	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	39411832
Azam Hosseinzadeh	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	38607587
Russel J Reiter	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	38607587
Saeed Mehrzadi	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	38607587
Javier Ávila-Román	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34677429
Elena Talero	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34677429
Seung J Baek	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34072678
Ji-Young Lee	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34072678
Ho-Jae Han	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	34072678
Simon Alesi	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	36235567
Lisa J Moran	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	36235567
Aya Mousa	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	36235567
Archana Kumari	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	35959908
Rajesh Kumar Singh	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	35959908
Tiantian Meng	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33466247
Liang Chen	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33466247
Jianhua He	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33466247
Zahra Ghaneifar	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33107698
Elham Abdollahi	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33107698
Amir Abbas Momtazi-Borojeni	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33107698
Diego Fernández-Lázaro	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32075287
Alberto Caballero García	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32075287
Cesar I Fernandez-Lazaro	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32075287
Tiziana Filardi	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33080891
Susanna Morano	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33080891
Carmela Santangelo	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33080891
Amir Hossein Faghfouri	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32726657
Shing Cheng Tan	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32726657
Alireza Ostadrahimi	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32726657
Vani Mathakala	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	38987758
Tejaswini Ullakula	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	38987758
Uma Maheswari Devi Palempalli	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	38987758
Kamal D Moudgil	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	36613560
Shivaprasad H Venkatesha	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	36613560
Luana M Manosso	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33314993
Ana Lúcia S Rodrigues	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33314993
Anahita Jenab	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32982183
Rasoul Roghanian	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32982183
Giti Emtiazi	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	32982183
Jang Mee Kim	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33583108
Seung-Yun Lee	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33583108
Ji Yeon Lee	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	33583108
Magdalena Majdan	COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	1	35745226
